ID,Category,Years_Experience,Skills,Resume
RES0338,Digital Marketing,12,Copywriting; Social Media; SEO; Email Marketing; Content Marketing; Excel; Marketing Strategy; PPC,"Motivated Digital Marketing candidate (12 years experience, B.E., National College) proficient in Copywriting, Social Media, SEO, Email Marketing, Content Marketing, Excel, Marketing Strategy, PPC. Hands-on experience building solutions with Marketing Strategy and Social Media. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0508,Civil Engineer,8,Cost Estimation; Surveying; Structural Analysis; Revit; Construction Management; Project Management; AutoCAD,"Civil Engineer specialist with 8 years in the industry, holding a BCA from National College. Core competencies include Cost Estimation, Surveying, Structural Analysis, Revit, Construction Management, Project Management, AutoCAD. Led initiatives using Cost Estimation that improved key metrics, and collaborated cross-functionally leveraging AutoCAD. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0321,Digital Marketing,0,Copywriting; Email Marketing; SEO; Content Marketing; Social Media; Google Analytics,"Motivated Digital Marketing candidate (0 years experience, B.E., National College) proficient in Copywriting, Email Marketing, SEO, Content Marketing, Social Media, Google Analytics. Hands-on experience building solutions with Social Media and Copywriting. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: None."
RES0509,Civil Engineer,7,Construction Management; Surveying; Revit; AutoCAD; Structural Analysis; Project Management,"Civil Engineer specialist with 7 years in the industry, holding a MBA from City College. Core competencies include Construction Management, Surveying, Revit, AutoCAD, Structural Analysis, Project Management. Led initiatives using Project Management that improved key metrics, and collaborated cross-functionally leveraging Construction Management. Passionate about continuous learning and staying current with industry trends. Certifications: Google Certification."
RES0360,Digital Marketing,6,Email Marketing; PPC; Google Analytics; Excel; Copywriting; Content Marketing; Marketing Strategy; Social Media; Communication,"Digital Marketing specialist with 6 years in the industry, holding a MCA from Institute of Technology. Core competencies include Email Marketing, PPC, Google Analytics, Excel, Copywriting, Content Marketing, Marketing Strategy, Social Media, Communication. Led initiatives using Content Marketing that improved key metrics, and collaborated cross-functionally leveraging Social Media. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0197,Python Developer,6,Unit Testing; Pandas; Django; Python; Celery; Flask; Git; REST API; Docker,"Motivated Python Developer candidate (6 years experience, B.Tech, National College) proficient in Unit Testing, Pandas, Django, Python, Celery, Flask, Git, REST API, Docker. Hands-on experience building solutions with Git and Docker. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0352,Digital Marketing,10,PPC; Excel; Copywriting; SEO; Google Analytics; Social Media,"Digital Marketing specialist with 10 years in the industry, holding a M.Sc from National College. Core competencies include PPC, Excel, Copywriting, SEO, Google Analytics, Social Media. Led initiatives using Google Analytics that improved key metrics, and collaborated cross-functionally leveraging SEO. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0123,Java Developer,3,REST API; SQL; Multithreading; Java; Microservices,"Result-driven Java Developer professional with 3 years of experience. Skilled in REST API, SQL, Multithreading, Java, Microservices. Completed BCA from City College. Worked on projects involving Microservices and Java, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0004,Data Science,4,Python; Data Visualization; TensorFlow; Pandas; Statistics; Excel; Machine Learning,"Result-driven Data Science professional with 4 years of experience. Skilled in Python, Data Visualization, TensorFlow, Pandas, Statistics, Excel, Machine Learning. Completed MBA from Technical Institute. Worked on projects involving Data Visualization and Excel, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0592,Health and Fitness,11,Exercise Physiology; CPR Certified; First Aid; Nutrition Planning; Communication; Program Design,"Health and Fitness specialist with 11 years in the industry, holding a M.Sc from National College. Core competencies include Exercise Physiology, CPR Certified, First Aid, Nutrition Planning, Communication, Program Design. Led initiatives using Communication that improved key metrics, and collaborated cross-functionally leveraging Nutrition Planning. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0009,Data Science,9,Python; Pandas; NumPy; Tableau; Statistics,"Data Science specialist with 9 years in the industry, holding a B.Sc from Metropolitan University. Core competencies include Python, Pandas, NumPy, Tableau, Statistics. Led initiatives using Tableau that improved key metrics, and collaborated cross-functionally leveraging Statistics. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0444,Mechanical Engineer,2,SolidWorks; Manufacturing; Quality Control; AutoCAD; Project Management; Thermodynamics,"Mechanical Engineer specialist with 2 years in the industry, holding a M.Tech from National College. Core competencies include SolidWorks, Manufacturing, Quality Control, AutoCAD, Project Management, Thermodynamics. Led initiatives using AutoCAD that improved key metrics, and collaborated cross-functionally leveraging Project Management. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0291,Business Analyst,3,Excel; Communication; Requirements Gathering; Tableau; Data Visualization; Process Improvement; Power BI; Agile,"Result-driven Business Analyst professional with 3 years of experience. Skilled in Excel, Communication, Requirements Gathering, Tableau, Data Visualization, Process Improvement, Power BI, Agile. Completed B.Tech from City College. Worked on projects involving Excel and Process Improvement, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0237,DevOps Engineer,5,Ansible; Kubernetes; Jenkins; Monitoring; CI/CD; Linux; Shell Scripting,"DevOps Engineer specialist with 5 years in the industry, holding a B.Tech from Metropolitan University. Core competencies include Ansible, Kubernetes, Jenkins, Monitoring, CI/CD, Linux, Shell Scripting. Led initiatives using Shell Scripting that improved key metrics, and collaborated cross-functionally leveraging CI/CD. Passionate about continuous learning and staying current with industry trends. Certifications: Google Certification."
RES0041,Web Development,1,Node.js; React; Responsive Design; MongoDB; REST API; CSS; JavaScript; TypeScript,"Motivated Web Development candidate (1 years experience, M.Sc, Institute of Technology) proficient in Node.js, React, Responsive Design, MongoDB, REST API, CSS, JavaScript, TypeScript. Hands-on experience building solutions with REST API and Responsive Design. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: AWS Certified Associate."
RES0008,Data Science,9,NumPy; Machine Learning; Excel; Scikit-learn; A/B Testing; SQL; Data Visualization; TensorFlow,"Data Science specialist with 9 years in the industry, holding a BCA from National College. Core competencies include NumPy, Machine Learning, Excel, Scikit-learn, A/B Testing, SQL, Data Visualization, TensorFlow. Led initiatives using Scikit-learn that improved key metrics, and collaborated cross-functionally leveraging Machine Learning. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0069,Web Development,4,Git; CSS; React; TypeScript; Express.js; HTML; MongoDB; Responsive Design; JavaScript,"Web Development specialist with 4 years in the industry, holding a B.Com from City College. Core competencies include Git, CSS, React, TypeScript, Express.js, HTML, MongoDB, Responsive Design, JavaScript. Led initiatives using Express.js that improved key metrics, and collaborated cross-functionally leveraging MongoDB. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
RES0336,Digital Marketing,7,PPC; Communication; Marketing Strategy; Social Media; Content Marketing; Copywriting,"Digital Marketing specialist with 7 years in the industry, holding a B.Com from State University. Core competencies include PPC, Communication, Marketing Strategy, Social Media, Content Marketing, Copywriting. Led initiatives using Communication that improved key metrics, and collaborated cross-functionally leveraging Content Marketing. Passionate about continuous learning and staying current with industry trends. Certifications: Coursera Professional Certificate."
RES0599,Health and Fitness,11,Client Assessment; Nutrition Planning; First Aid; Communication; Exercise Physiology; CPR Certified; Program Design,"Health and Fitness specialist with 11 years in the industry, holding a B.Tech from Technical Institute. Core competencies include Client Assessment, Nutrition Planning, First Aid, Communication, Exercise Physiology, CPR Certified, Program Design. Led initiatives using Client Assessment that improved key metrics, and collaborated cross-functionally leveraging Communication. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0255,Network Security Engineer,2,Python; Firewalls; Linux; Network Protocols; IDS/IPS; SIEM; Penetration Testing,"Network Security Engineer specialist with 2 years in the industry, holding a M.Tech from Technical Institute. Core competencies include Python, Firewalls, Linux, Network Protocols, IDS/IPS, SIEM, Penetration Testing. Led initiatives using Linux that improved key metrics, and collaborated cross-functionally leveraging SIEM. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0131,Java Developer,9,Maven; Git; Multithreading; Java; JUnit; Hibernate,"Motivated Java Developer candidate (9 years experience, BCA, National College) proficient in Maven, Git, Multithreading, Java, JUnit, Hibernate. Hands-on experience building solutions with Hibernate and Maven. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0347,Digital Marketing,3,Google Analytics; Social Media; Communication; Email Marketing; Marketing Strategy; PPC; Copywriting,"Motivated Digital Marketing candidate (3 years experience, BCA, Technical Institute) proficient in Google Analytics, Social Media, Communication, Email Marketing, Marketing Strategy, PPC, Copywriting. Hands-on experience building solutions with Social Media and Marketing Strategy. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Google Certification."
RES0286,Business Analyst,11,Process Improvement; Data Visualization; Stakeholder Management; Excel; Requirements Gathering; SQL,"Business Analyst specialist with 11 years in the industry, holding a M.Sc from City College. Core competencies include Process Improvement, Data Visualization, Stakeholder Management, Excel, Requirements Gathering, SQL. Led initiatives using Requirements Gathering that improved key metrics, and collaborated cross-functionally leveraging Data Visualization. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0292,Business Analyst,9,Tableau; Stakeholder Management; Data Visualization; Excel; Requirements Gathering; Process Improvement,"Business Analyst specialist with 9 years in the industry, holding a M.Sc from Institute of Technology. Core competencies include Tableau, Stakeholder Management, Data Visualization, Excel, Requirements Gathering, Process Improvement. Led initiatives using Tableau that improved key metrics, and collaborated cross-functionally leveraging Process Improvement. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0545,Graphic Designer,2,Communication; Branding; InDesign; UI/UX; Creativity; Typography; Photoshop; Figma,"Graphic Designer specialist with 2 years in the industry, holding a B.Com from City College. Core competencies include Communication, Branding, InDesign, UI/UX, Creativity, Typography, Photoshop, Figma. Led initiatives using Creativity that improved key metrics, and collaborated cross-functionally leveraging Typography. Passionate about continuous learning and staying current with industry trends. Certifications: Google Certification."
RES0428,Sales,8,CRM; Negotiation; Sales Strategy; Communication; Lead Generation; Excel,"Sales specialist with 8 years in the industry, holding a BCA from City College. Core competencies include CRM, Negotiation, Sales Strategy, Communication, Lead Generation, Excel. Led initiatives using Lead Generation that improved key metrics, and collaborated cross-functionally leveraging Excel. Passionate about continuous learning and staying current with industry trends. Certifications: Google Certification."
RES0517,Civil Engineer,11,Cost Estimation; Structural Analysis; Construction Management; Project Management; AutoCAD; Surveying,"Civil Engineer specialist with 11 years in the industry, holding a B.Com from Technical Institute. Core competencies include Cost Estimation, Structural Analysis, Construction Management, Project Management, AutoCAD, Surveying. Led initiatives using Construction Management that improved key metrics, and collaborated cross-functionally leveraging Surveying. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
RES0097,Android Development,9,Material Design; Java; REST API; SQLite; Android SDK; Git; MVVM,"Result-driven Android Development professional with 9 years of experience. Skilled in Material Design, Java, REST API, SQLite, Android SDK, Git, MVVM. Completed B.Com from Institute of Technology. Worked on projects involving Java and Git, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: PMP."
RES0306,Business Analyst,1,Process Improvement; Requirements Gathering; Power BI; Communication; SQL,"Business Analyst specialist with 1 years in the industry, holding a MCA from Metropolitan University. Core competencies include Process Improvement, Requirements Gathering, Power BI, Communication, SQL. Led initiatives using SQL that improved key metrics, and collaborated cross-functionally leveraging Communication. Passionate about continuous learning and staying current with industry trends. Certifications: Coursera Professional Certificate."
RES0246,Network Security Engineer,7,Cryptography; Penetration Testing; Vulnerability Assessment; Risk Assessment; Python; Linux; SIEM,"Network Security Engineer specialist with 7 years in the industry, holding a M.Sc from State University. Core competencies include Cryptography, Penetration Testing, Vulnerability Assessment, Risk Assessment, Python, Linux, SIEM. Led initiatives using Cryptography that improved key metrics, and collaborated cross-functionally leveraging Penetration Testing. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0430,Sales,0,Lead Generation; Negotiation; CRM; Excel; Sales Strategy; Cold Calling; Client Relationship Management,"Result-driven Sales professional with 0 years of experience. Skilled in Lead Generation, Negotiation, CRM, Excel, Sales Strategy, Cold Calling, Client Relationship Management. Completed MCA from Metropolitan University. Worked on projects involving Client Relationship Management and Excel, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Microsoft Certified."
RES0240,DevOps Engineer,7,Shell Scripting; Docker; AWS; CI/CD; Linux; Jenkins; Monitoring; Git; Terraform,"DevOps Engineer specialist with 7 years in the industry, holding a M.Sc from National College. Core competencies include Shell Scripting, Docker, AWS, CI/CD, Linux, Jenkins, Monitoring, Git, Terraform. Led initiatives using Jenkins that improved key metrics, and collaborated cross-functionally leveraging Docker. Passionate about continuous learning and staying current with industry trends. Certifications: Microsoft Certified."
RES0332,Digital Marketing,3,Social Media; Excel; Content Marketing; Google Analytics; Marketing Strategy; PPC; Communication,"Motivated Digital Marketing candidate (3 years experience, B.Sc, Institute of Technology) proficient in Social Media, Excel, Content Marketing, Google Analytics, Marketing Strategy, PPC, Communication. Hands-on experience building solutions with PPC and Marketing Strategy. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0164,Python Developer,0,Flask; Celery; Docker; Unit Testing; Django,"Python Developer specialist with 0 years in the industry, holding a M.Sc from Metropolitan University. Core competencies include Flask, Celery, Docker, Unit Testing, Django. Led initiatives using Celery that improved key metrics, and collaborated cross-functionally leveraging Unit Testing. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0597,Health and Fitness,7,First Aid; Nutrition Planning; Program Design; Exercise Physiology; Communication; CPR Certified,"Result-driven Health and Fitness professional with 7 years of experience. Skilled in First Aid, Nutrition Planning, Program Design, Exercise Physiology, Communication, CPR Certified. Completed MCA from State University. Worked on projects involving Exercise Physiology and Communication, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0077,Web Development,9,Express.js; Git; JavaScript; Responsive Design; CSS; HTML,"Motivated Web Development candidate (9 years experience, BCA, Technical Institute) proficient in Express.js, Git, JavaScript, Responsive Design, CSS, HTML. Hands-on experience building solutions with HTML and Git. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: PMP."
RES0429,Sales,12,Negotiation; Sales Strategy; CRM; Lead Generation; Excel; Cold Calling; Client Relationship Management; Communication,"Sales specialist with 12 years in the industry, holding a B.Tech from Metropolitan University. Core competencies include Negotiation, Sales Strategy, CRM, Lead Generation, Excel, Cold Calling, Client Relationship Management, Communication. Led initiatives using Excel that improved key metrics, and collaborated cross-functionally leveraging CRM. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0572,Health and Fitness,11,First Aid; Nutrition Planning; Exercise Physiology; Communication; Program Design; CPR Certified; Client Assessment,"Motivated Health and Fitness candidate (11 years experience, MCA, Metropolitan University) proficient in First Aid, Nutrition Planning, Exercise Physiology, Communication, Program Design, CPR Certified, Client Assessment. Hands-on experience building solutions with Nutrition Planning and Communication. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Google Certification."
RES0457,Mechanical Engineer,6,Thermodynamics; MATLAB; SolidWorks; Manufacturing; Six Sigma,"Motivated Mechanical Engineer candidate (6 years experience, MCA, Institute of Technology) proficient in Thermodynamics, MATLAB, SolidWorks, Manufacturing, Six Sigma. Hands-on experience building solutions with MATLAB and SolidWorks. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: AWS Certified Associate."
RES0245,Network Security Engineer,12,Vulnerability Assessment; IDS/IPS; Network Protocols; Penetration Testing; Firewalls; Cryptography; Python,"Network Security Engineer specialist with 12 years in the industry, holding a B.Sc from Institute of Technology. Core competencies include Vulnerability Assessment, IDS/IPS, Network Protocols, Penetration Testing, Firewalls, Cryptography, Python. Led initiatives using Vulnerability Assessment that improved key metrics, and collaborated cross-functionally leveraging IDS/IPS. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
RES0482,Civil Engineer,6,Construction Management; Revit; Structural Analysis; Project Management; Cost Estimation,"Motivated Civil Engineer candidate (6 years experience, B.Sc, City College) proficient in Construction Management, Revit, Structural Analysis, Project Management, Cost Estimation. Hands-on experience building solutions with Structural Analysis and Project Management. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0219,DevOps Engineer,12,AWS; Terraform; Jenkins; Ansible; Git; Shell Scripting; Linux; Docker; CI/CD,"Result-driven DevOps Engineer professional with 12 years of experience. Skilled in AWS, Terraform, Jenkins, Ansible, Git, Shell Scripting, Linux, Docker, CI/CD. Completed BCA from State University. Worked on projects involving Git and Jenkins, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0239,DevOps Engineer,11,AWS; Shell Scripting; Docker; Linux; Kubernetes; Monitoring; Git; CI/CD,"Result-driven DevOps Engineer professional with 11 years of experience. Skilled in AWS, Shell Scripting, Docker, Linux, Kubernetes, Monitoring, Git, CI/CD. Completed MBA from National College. Worked on projects involving Shell Scripting and Kubernetes, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: AWS Certified Associate."
RES0297,Business Analyst,9,Stakeholder Management; SQL; Process Improvement; Requirements Gathering; Agile,"Motivated Business Analyst candidate (9 years experience, M.Tech, National College) proficient in Stakeholder Management, SQL, Process Improvement, Requirements Gathering, Agile. Hands-on experience building solutions with Agile and SQL. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: AWS Certified Associate."
RES0327,Digital Marketing,1,Google Analytics; Content Marketing; SEO; Social Media; PPC; Marketing Strategy; Communication; Excel,"Motivated Digital Marketing candidate (1 years experience, B.Tech, Institute of Technology) proficient in Google Analytics, Content Marketing, SEO, Social Media, PPC, Marketing Strategy, Communication, Excel. Hands-on experience building solutions with PPC and Excel. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0595,Health and Fitness,0,Client Assessment; Program Design; First Aid; CPR Certified; Nutrition Planning; Communication; Exercise Physiology,"Result-driven Health and Fitness professional with 0 years of experience. Skilled in Client Assessment, Program Design, First Aid, CPR Certified, Nutrition Planning, Communication, Exercise Physiology. Completed M.Tech from State University. Worked on projects involving Exercise Physiology and Client Assessment, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0167,Python Developer,11,Unit Testing; SQL; Celery; Git; REST API; Python; Docker; Flask,"Motivated Python Developer candidate (11 years experience, MBA, State University) proficient in Unit Testing, SQL, Celery, Git, REST API, Python, Docker, Flask. Hands-on experience building solutions with SQL and Unit Testing. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0376,HR,7,Onboarding; HRIS; Conflict Resolution; Performance Management; Recruitment; Excel; Communication,"Result-driven HR professional with 7 years of experience. Skilled in Onboarding, HRIS, Conflict Resolution, Performance Management, Recruitment, Excel, Communication. Completed B.Com from State University. Worked on projects involving Onboarding and Performance Management, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Microsoft Certified."
RES0037,Data Science,10,TensorFlow; Data Visualization; NumPy; Pandas; Machine Learning; A/B Testing,"Result-driven Data Science professional with 10 years of experience. Skilled in TensorFlow, Data Visualization, NumPy, Pandas, Machine Learning, A/B Testing. Completed MBA from State University. Worked on projects involving Data Visualization and NumPy, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Google Certification."
RES0278,Network Security Engineer,0,Risk Assessment; Firewalls; SIEM; Penetration Testing; Cryptography; Python; Vulnerability Assessment; Network Protocols; Linux,"Network Security Engineer specialist with 0 years in the industry, holding a MBA from City College. Core competencies include Risk Assessment, Firewalls, SIEM, Penetration Testing, Cryptography, Python, Vulnerability Assessment, Network Protocols, Linux. Led initiatives using Penetration Testing that improved key metrics, and collaborated cross-functionally leveraging Cryptography. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0414,Sales,10,Negotiation; Cold Calling; Communication; Lead Generation; Client Relationship Management; Sales Strategy; Excel; CRM,"Result-driven Sales professional with 10 years of experience. Skilled in Negotiation, Cold Calling, Communication, Lead Generation, Client Relationship Management, Sales Strategy, Excel, CRM. Completed BCA from Institute of Technology. Worked on projects involving Excel and Client Relationship Management, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0530,Graphic Designer,2,Creativity; Illustrator; UI/UX; InDesign; Photoshop; Typography,"Graphic Designer specialist with 2 years in the industry, holding a B.Tech from Metropolitan University. Core competencies include Creativity, Illustrator, UI/UX, InDesign, Photoshop, Typography. Led initiatives using UI/UX that improved key metrics, and collaborated cross-functionally leveraging Typography. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0026,Data Science,8,A/B Testing; Pandas; NumPy; Machine Learning; Excel; Python; SQL,"Motivated Data Science candidate (8 years experience, B.E., National College) proficient in A/B Testing, Pandas, NumPy, Machine Learning, Excel, Python, SQL. Hands-on experience building solutions with NumPy and Excel. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Google Certification."
RES0458,Mechanical Engineer,2,Project Management; MATLAB; Thermodynamics; AutoCAD; Quality Control; Six Sigma; SolidWorks,"Result-driven Mechanical Engineer professional with 2 years of experience. Skilled in Project Management, MATLAB, Thermodynamics, AutoCAD, Quality Control, Six Sigma, SolidWorks. Completed M.Sc from State University. Worked on projects involving Thermodynamics and Quality Control, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0024,Data Science,1,A/B Testing; Excel; Machine Learning; Data Visualization; SQL; Statistics,"Result-driven Data Science professional with 1 years of experience. Skilled in A/B Testing, Excel, Machine Learning, Data Visualization, SQL, Statistics. Completed B.Tech from Metropolitan University. Worked on projects involving SQL and Statistics, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0309,Business Analyst,5,Agile; SQL; Process Improvement; Power BI; Tableau; Communication; Excel,"Motivated Business Analyst candidate (5 years experience, MBA, City College) proficient in Agile, SQL, Process Improvement, Power BI, Tableau, Communication, Excel. Hands-on experience building solutions with Excel and Process Improvement. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0098,Android Development,9,Git; MVVM; Jetpack Compose; Java; Android SDK,"Motivated Android Development candidate (9 years experience, M.Tech, Metropolitan University) proficient in Git, MVVM, Jetpack Compose, Java, Android SDK. Hands-on experience building solutions with Android SDK and Git. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Microsoft Certified."
RES0393,HR,1,HRIS; Employee Engagement; Excel; Performance Management; Communication; Conflict Resolution; Onboarding; Recruitment,"Motivated HR candidate (1 years experience, B.Com, Institute of Technology) proficient in HRIS, Employee Engagement, Excel, Performance Management, Communication, Conflict Resolution, Onboarding, Recruitment. Hands-on experience building solutions with Recruitment and Excel. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: AWS Certified Associate."
RES0319,Business Analyst,12,Excel; Communication; Stakeholder Management; SQL; Agile; Requirements Gathering; Power BI; Data Visualization; Tableau,"Business Analyst specialist with 12 years in the industry, holding a B.Com from City College. Core competencies include Excel, Communication, Stakeholder Management, SQL, Agile, Requirements Gathering, Power BI, Data Visualization, Tableau. Led initiatives using SQL that improved key metrics, and collaborated cross-functionally leveraging Tableau. Passionate about continuous learning and staying current with industry trends. Certifications: AWS Certified Associate."
RES0221,DevOps Engineer,7,Linux; Ansible; Jenkins; Terraform; CI/CD,"DevOps Engineer specialist with 7 years in the industry, holding a MBA from Technical Institute. Core competencies include Linux, Ansible, Jenkins, Terraform, CI/CD. Led initiatives using Linux that improved key metrics, and collaborated cross-functionally leveraging CI/CD. Passionate about continuous learning and staying current with industry trends. Certifications: None."
RES0546,Graphic Designer,10,Figma; Typography; Branding; UI/UX; InDesign; Photoshop; Creativity; Illustrator,"Result-driven Graphic Designer professional with 10 years of experience. Skilled in Figma, Typography, Branding, UI/UX, InDesign, Photoshop, Creativity, Illustrator. Completed B.Com from City College. Worked on projects involving Illustrator and UI/UX, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Microsoft Certified."
RES0399,HR,12,Payroll; HRIS; Onboarding; Excel; Conflict Resolution; Communication; Employee Engagement; Performance Management; Recruitment,"Result-driven HR professional with 12 years of experience. Skilled in Payroll, HRIS, Onboarding, Excel, Conflict Resolution, Communication, Employee Engagement, Performance Management, Recruitment. Completed MBA from City College. Worked on projects involving Performance Management and Employee Engagement, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: Coursera Professional Certificate."
RES0112,Android Development,10,MVVM; Android SDK; Java; Firebase; SQLite; Jetpack Compose; Git; REST API,"Android Development specialist with 10 years in the industry, holding a B.E. from State University. Core competencies include MVVM, Android SDK, Java, Firebase, SQLite, Jetpack Compose, Git, REST API. Led initiatives using Firebase that improved key metrics, and collaborated cross-functionally leveraging Jetpack Compose. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
RES0512,Civil Engineer,8,Revit; AutoCAD; Project Management; Structural Analysis; Cost Estimation; Surveying; Construction Management,"Motivated Civil Engineer candidate (8 years experience, MBA, Metropolitan University) proficient in Revit, AutoCAD, Project Management, Structural Analysis, Cost Estimation, Surveying, Construction Management. Hands-on experience building solutions with Cost Estimation and Project Management. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: None."
RES0478,Mechanical Engineer,11,SolidWorks; Six Sigma; Quality Control; Manufacturing; Project Management; Thermodynamics; AutoCAD; MATLAB,"Motivated Mechanical Engineer candidate (11 years experience, M.Sc, State University) proficient in SolidWorks, Six Sigma, Quality Control, Manufacturing, Project Management, Thermodynamics, AutoCAD, MATLAB. Hands-on experience building solutions with SolidWorks and MATLAB. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: Coursera Professional Certificate."
RES0503,Civil Engineer,5,Surveying; AutoCAD; Construction Management; Structural Analysis; Revit,"Motivated Civil Engineer candidate (5 years experience, M.Sc, Institute of Technology) proficient in Surveying, AutoCAD, Construction Management, Structural Analysis, Revit. Hands-on experience building solutions with Surveying and Revit. Recognized for strong communication skills and ability to work in fast-paced, collaborative environments. Certifications: PMP."
RES0261,Network Security Engineer,7,Penetration Testing; Linux; Vulnerability Assessment; SIEM; Risk Assessment; Firewalls; Cryptography,"Result-driven Network Security Engineer professional with 7 years of experience. Skilled in Penetration Testing, Linux, Vulnerability Assessment, SIEM, Risk Assessment, Firewalls, Cryptography. Completed B.Tech from National College. Worked on projects involving Linux and Cryptography, delivering measurable improvements in team efficiency and project outcomes. Strong problem-solving ability and a track record of meeting deadlines. Certifications: None."
RES0281,Business Analyst,4,Process Improvement; Excel; Communication; Requirements Gathering; SQL; Tableau; Agile; Power BI,"Business Analyst specialist with 4 years in the industry, holding a M.Sc from City College. Core competencies include Process Improvement, Excel, Communication, Requirements Gathering, SQL, Tableau, Agile, Power BI. Led initiatives using SQL that improved key metrics, and collaborated cross-functionally leveraging Requirements Gathering. Passionate about continuous learning and staying current with industry trends. Certifications: PMP."
