Job_ID,Title,Category,Company,Location,Skills,Experience_Required,Salary_LPA,Description
JOB00021,Data Scientist,Data Science,Gray-Mayo,Chennai,Tableau; Statistics; Scikit-learn; Python; Excel; A/B Testing,8-11 years,12-16,"We are looking for a Data Scientist to join our growing team. The ideal candidate has hands-on experience with Tableau, Statistics, Scikit-learn, Python, Excel, A/B Testing and can work independently on Scikit-learn-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Statistics initiatives, and driving continuous improvement. 8+ years of relevant experience required."
JOB00338,HR Generalist,HR,Bass PLC,Noida,Payroll; Excel; Communication; Performance Management,1-4 years,5-11,"Bass PLC is hiring a HR Generalist for our Noida office. You will use Payroll, Excel, Communication, Performance Management daily and help scale our Payroll capabilities. We value strong fundamentals in Excel and a collaborative mindset. Minimum 1 years of experience in a similar role."
JOB00419,Manufacturing Engineer,Mechanical Engineer,Morrison Ltd,Pune,SolidWorks; Project Management; Quality Control; AutoCAD; Thermodynamics; Manufacturing; Six Sigma,8-11 years,10-16,"Morrison Ltd is hiring a Manufacturing Engineer for our Pune office. You will use SolidWorks, Project Management, Quality Control, AutoCAD, Thermodynamics, Manufacturing, Six Sigma daily and help scale our Quality Control capabilities. We value strong fundamentals in Project Management and a collaborative mindset. Minimum 8 years of experience in a similar role."
JOB00348,HR Executive,HR,Willis and Sons,Remote,Excel; Employee Engagement; Communication; Payroll; Onboarding,3-6 years,12-15,"Exciting opportunity for a HR Executive at Willis and Sons. Must be proficient in Excel, Employee Engagement, Communication, Payroll, Onboarding, with practical exposure to Excel and Communication. You'll work in an agile environment solving real business problems. 3+ years experience preferred."
JOB00170,Python Developer,Python Developer,Hooper PLC,Bengaluru,Django; Celery; Python; SQL; Docker,2-5 years,8-17,"We are looking for a Python Developer to join our growing team. The ideal candidate has hands-on experience with Django, Celery, Python, SQL, Docker and can work independently on Docker-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to SQL initiatives, and driving continuous improvement. 2+ years of relevant experience required."
JOB00033,Machine Learning Engineer,Data Science,"Ferrell, Rice and Maddox",Mumbai,Statistics; Pandas; TensorFlow; Excel; Scikit-learn,7-10 years,13-16,"Exciting opportunity for a Machine Learning Engineer at Ferrell, Rice and Maddox. Must be proficient in Statistics, Pandas, TensorFlow, Excel, Scikit-learn, with practical exposure to Scikit-learn and Excel. You'll work in an agile environment solving real business problems. 7+ years experience preferred."
JOB00166,Python Developer,Python Developer,Medina-Navarro,Kolkata,Docker; Django; Git; Pandas; SQL,6-9 years,13-19,"Exciting opportunity for a Python Developer at Medina-Navarro. Must be proficient in Docker, Django, Git, Pandas, SQL, with practical exposure to Git and Django. You'll work in an agile environment solving real business problems. 6+ years experience preferred."
JOB00155,Backend Python Engineer,Python Developer,"Ramirez, Strickland and Washington",Pune,Flask; Django; Pandas; Docker,6-9 years,14-23,"Ramirez, Strickland and Washington is hiring a Backend Python Engineer for our Pune office. You will use Flask, Django, Pandas, Docker daily and help scale our Pandas capabilities. We value strong fundamentals in Flask and a collaborative mindset. Minimum 6 years of experience in a similar role."
JOB00486,Graphic Designer,Graphic Designer,Jones-Fox,Pune,Illustrator; Typography; Creativity; Figma,7-10 years,4-7,"We are looking for a Graphic Designer to join our growing team. The ideal candidate has hands-on experience with Illustrator, Typography, Creativity, Figma and can work independently on Illustrator-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Typography initiatives, and driving continuous improvement. 7+ years of relevant experience required."
JOB00039,Web Developer,Web Development,Harrell LLC,Hyderabad,JavaScript; Git; React; Responsive Design; Node.js; REST API; Express.js; TypeScript,6-9 years,5-10,"Exciting opportunity for a Web Developer at Harrell LLC. Must be proficient in JavaScript, Git, React, Responsive Design, Node.js, REST API, Express.js, TypeScript, with practical exposure to Git and Responsive Design. You'll work in an agile environment solving real business problems. 6+ years experience preferred."
JOB00400,Manufacturing Engineer,Mechanical Engineer,Duran LLC,Pune,Thermodynamics; Project Management; Manufacturing; AutoCAD; Six Sigma; SolidWorks,8-11 years,6-14,"Exciting opportunity for a Manufacturing Engineer at Duran LLC. Must be proficient in Thermodynamics, Project Management, Manufacturing, AutoCAD, Six Sigma, SolidWorks, with practical exposure to Manufacturing and Thermodynamics. You'll work in an agile environment solving real business problems. 8+ years experience preferred."
JOB00163,Python Developer,Python Developer,"Smith, Gilmore and Johnston",Delhi NCR,Docker; Pandas; Unit Testing; Flask; Celery; REST API; SQL,8-11 years,15-19,"Smith, Gilmore and Johnston is hiring a Python Developer for our Delhi NCR office. You will use Docker, Pandas, Unit Testing, Flask, Celery, REST API, SQL daily and help scale our Pandas capabilities. We value strong fundamentals in Flask and a collaborative mindset. Minimum 8 years of experience in a similar role."
JOB00108,Backend Java Engineer,Java Developer,Dickson-Brady,Kolkata,Java; Hibernate; SQL; Maven; Git; JUnit,1-4 years,8-15,"Exciting opportunity for a Backend Java Engineer at Dickson-Brady. Must be proficient in Java, Hibernate, SQL, Maven, Git, JUnit, with practical exposure to Git and Maven. You'll work in an agile environment solving real business problems. 1+ years experience preferred."
JOB00240,Cybersecurity Analyst,Network Security Engineer,"Walker, Hernandez and Baker",Ahmedabad,Cryptography; Python; Firewalls; Vulnerability Assessment; SIEM,0-3 years,10-12,"Walker, Hernandez and Baker is hiring a Cybersecurity Analyst for our Ahmedabad office. You will use Cryptography, Python, Firewalls, Vulnerability Assessment, SIEM daily and help scale our Cryptography capabilities. We value strong fundamentals in Firewalls and a collaborative mindset. Minimum 0 years of experience in a similar role."
JOB00292,Marketing Analyst,Digital Marketing,Young Ltd,Hyderabad,Communication; PPC; Email Marketing; Excel; Copywriting; Content Marketing; SEO,3-6 years,8-16,"Exciting opportunity for a Marketing Analyst at Young Ltd. Must be proficient in Communication, PPC, Email Marketing, Excel, Copywriting, Content Marketing, SEO, with practical exposure to SEO and Email Marketing. You'll work in an agile environment solving real business problems. 3+ years experience preferred."
JOB00004,Data Scientist,Data Science,Davis and Sons,Remote,Excel; A/B Testing; TensorFlow; Machine Learning,8-11 years,5-12,"Exciting opportunity for a Data Scientist at Davis and Sons. Must be proficient in Excel, A/B Testing, TensorFlow, Machine Learning, with practical exposure to Machine Learning and TensorFlow. You'll work in an agile environment solving real business problems. 8+ years experience preferred."
JOB00287,Digital Marketing Executive,Digital Marketing,"Booker, Jones and Harrington",Ahmedabad,Communication; PPC; Google Analytics; SEO; Email Marketing; Social Media; Copywriting; Excel,5-8 years,10-16,"We are looking for a Digital Marketing Executive to join our growing team. The ideal candidate has hands-on experience with Communication, PPC, Google Analytics, SEO, Email Marketing, Social Media, Copywriting, Excel and can work independently on Social Media-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Excel initiatives, and driving continuous improvement. 5+ years of relevant experience required."
JOB00411,Mechanical Design Engineer,Mechanical Engineer,Kim Inc,Pune,SolidWorks; Project Management; AutoCAD; Quality Control; MATLAB; Thermodynamics; Six Sigma; Manufacturing,3-6 years,19-22,"Exciting opportunity for a Mechanical Design Engineer at Kim Inc. Must be proficient in SolidWorks, Project Management, AutoCAD, Quality Control, MATLAB, Thermodynamics, Six Sigma, Manufacturing, with practical exposure to AutoCAD and SolidWorks. You'll work in an agile environment solving real business problems. 3+ years experience preferred."
JOB00474,Graphic Designer,Graphic Designer,Lowery-Kennedy,Hyderabad,Illustrator; Figma; Creativity; Photoshop,8-11 years,14-17,"Lowery-Kennedy is hiring a Graphic Designer for our Hyderabad office. You will use Illustrator, Figma, Creativity, Photoshop daily and help scale our Illustrator capabilities. We value strong fundamentals in Figma and a collaborative mindset. Minimum 8 years of experience in a similar role."
JOB00296,Digital Marketing Executive,Digital Marketing,Williams Inc,Remote,Email Marketing; SEO; Marketing Strategy; Excel; PPC; Social Media,7-10 years,5-12,"We are looking for a Digital Marketing Executive to join our growing team. The ideal candidate has hands-on experience with Email Marketing, SEO, Marketing Strategy, Excel, PPC, Social Media and can work independently on Excel-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to PPC initiatives, and driving continuous improvement. 7+ years of relevant experience required."
JOB00337,HR Generalist,HR,"Newton, Moore and Perry",Bengaluru,Onboarding; Communication; Payroll; Conflict Resolution; Performance Management; HRIS; Employee Engagement; Recruitment,0-3 years,19-27,"Exciting opportunity for a HR Generalist at Newton, Moore and Perry. Must be proficient in Onboarding, Communication, Payroll, Conflict Resolution, Performance Management, HRIS, Employee Engagement, Recruitment, with practical exposure to Employee Engagement and Recruitment. You'll work in an agile environment solving real business problems. 0+ years experience preferred."
JOB00071,Android Developer,Android Development,Gray Group,Bengaluru,Kotlin; Java; SQLite; Material Design; Git; Firebase,2-5 years,11-18,"Exciting opportunity for a Android Developer at Gray Group. Must be proficient in Kotlin, Java, SQLite, Material Design, Git, Firebase, with practical exposure to Git and SQLite. You'll work in an agile environment solving real business problems. 2+ years experience preferred."
JOB00343,HR Executive,HR,Lopez-Martinez,Pune,Employee Engagement; Conflict Resolution; Excel; Performance Management; HRIS,4-7 years,4-10,"We are looking for a HR Executive to join our growing team. The ideal candidate has hands-on experience with Employee Engagement, Conflict Resolution, Excel, Performance Management, HRIS and can work independently on Conflict Resolution-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Excel initiatives, and driving continuous improvement. 4+ years of relevant experience required."
JOB00524,Fitness Trainer,Health and Fitness,"Griffin, Davies and Mitchell",Pune,Nutrition Planning; Communication; Program Design; Client Assessment; CPR Certified; First Aid,6-9 years,4-7,"We are looking for a Fitness Trainer to join our growing team. The ideal candidate has hands-on experience with Nutrition Planning, Communication, Program Design, Client Assessment, CPR Certified, First Aid and can work independently on First Aid-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to CPR Certified initiatives, and driving continuous improvement. 6+ years of relevant experience required."
JOB00254,Product Analyst,Business Analyst,"Garcia, Martin and Jenkins",Chennai,Data Visualization; Agile; Requirements Gathering; SQL; Process Improvement; Excel; Power BI; Stakeholder Management,6-9 years,17-19,"We are looking for a Product Analyst to join our growing team. The ideal candidate has hands-on experience with Data Visualization, Agile, Requirements Gathering, SQL, Process Improvement, Excel, Power BI, Stakeholder Management and can work independently on Agile-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Stakeholder Management initiatives, and driving continuous improvement. 6+ years of relevant experience required."
JOB00146,Python Developer,Python Developer,Stafford Inc,Chennai,Django; Python; Docker; Unit Testing; Pandas; Flask,1-4 years,20-25,"Stafford Inc is hiring a Python Developer for our Chennai office. You will use Django, Python, Docker, Unit Testing, Pandas, Flask daily and help scale our Docker capabilities. We value strong fundamentals in Flask and a collaborative mindset. Minimum 1 years of experience in a similar role."
JOB00298,Marketing Analyst,Digital Marketing,Schmidt PLC,Delhi NCR,Marketing Strategy; Email Marketing; Social Media; PPC,0-3 years,15-25,"We are looking for a Marketing Analyst to join our growing team. The ideal candidate has hands-on experience with Marketing Strategy, Email Marketing, Social Media, PPC and can work independently on Social Media-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to PPC initiatives, and driving continuous improvement. 0+ years of relevant experience required."
JOB00069,Frontend Developer,Web Development,Russell Group,Ahmedabad,Node.js; HTML; TypeScript; CSS,3-6 years,12-21,"Exciting opportunity for a Frontend Developer at Russell Group. Must be proficient in Node.js, HTML, TypeScript, CSS, with practical exposure to CSS and TypeScript. You'll work in an agile environment solving real business problems. 3+ years experience preferred."
JOB00206,Site Reliability Engineer,DevOps Engineer,Freeman-Chang,Bengaluru,Docker; Git; Shell Scripting; CI/CD; AWS; Jenkins,1-4 years,15-17,"Freeman-Chang is hiring a Site Reliability Engineer for our Bengaluru office. You will use Docker, Git, Shell Scripting, CI/CD, AWS, Jenkins daily and help scale our Shell Scripting capabilities. We value strong fundamentals in Docker and a collaborative mindset. Minimum 1 years of experience in a similar role."
JOB00247,Business Analyst,Business Analyst,Davis Ltd,Remote,Process Improvement; Excel; Requirements Gathering; Data Visualization; Communication; Tableau,8-11 years,10-17,"We are looking for a Business Analyst to join our growing team. The ideal candidate has hands-on experience with Process Improvement, Excel, Requirements Gathering, Data Visualization, Communication, Tableau and can work independently on Communication-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Process Improvement initiatives, and driving continuous improvement. 8+ years of relevant experience required."
JOB00097,Android Developer,Android Development,Wagner-King,Bengaluru,MVVM; Jetpack Compose; Material Design; Firebase; REST API; Kotlin,4-7 years,16-22,"We are looking for a Android Developer to join our growing team. The ideal candidate has hands-on experience with MVVM, Jetpack Compose, Material Design, Firebase, REST API, Kotlin and can work independently on Kotlin-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Jetpack Compose initiatives, and driving continuous improvement. 4+ years of relevant experience required."
JOB00335,HR Generalist,HR,Price LLC,Delhi NCR,Recruitment; Payroll; Excel; Performance Management; Onboarding; Communication,7-10 years,10-17,"Price LLC is hiring a HR Generalist for our Delhi NCR office. You will use Recruitment, Payroll, Excel, Performance Management, Onboarding, Communication daily and help scale our Payroll capabilities. We value strong fundamentals in Communication and a collaborative mindset. Minimum 7 years of experience in a similar role."
JOB00384,Account Manager,Sales,"Gallegos, Adams and White",Mumbai,Excel; CRM; Lead Generation; Cold Calling; Communication; Client Relationship Management,7-10 years,6-13,"Gallegos, Adams and White is hiring a Account Manager for our Mumbai office. You will use Excel, CRM, Lead Generation, Cold Calling, Communication, Client Relationship Management daily and help scale our Lead Generation capabilities. We value strong fundamentals in Communication and a collaborative mindset. Minimum 7 years of experience in a similar role."
JOB00190,Site Reliability Engineer,DevOps Engineer,"Burke, Martinez and Riggs",Pune,Kubernetes; Git; Docker; CI/CD,0-3 years,7-14,"Burke, Martinez and Riggs is hiring a Site Reliability Engineer for our Pune office. You will use Kubernetes, Git, Docker, CI/CD daily and help scale our CI/CD capabilities. We value strong fundamentals in Kubernetes and a collaborative mindset. Minimum 0 years of experience in a similar role."
JOB00145,Python Developer,Python Developer,Hernandez Ltd,Chennai,Unit Testing; Django; Celery; Docker; REST API,0-3 years,5-10,"Exciting opportunity for a Python Developer at Hernandez Ltd. Must be proficient in Unit Testing, Django, Celery, Docker, REST API, with practical exposure to REST API and Django. You'll work in an agile environment solving real business problems. 0+ years experience preferred."
JOB00491,Wellness Coach,Health and Fitness,"Fuller, Ingram and Moss",Delhi NCR,Client Assessment; Program Design; CPR Certified; First Aid; Nutrition Planning,6-9 years,19-29,"We are looking for a Wellness Coach to join our growing team. The ideal candidate has hands-on experience with Client Assessment, Program Design, CPR Certified, First Aid, Nutrition Planning and can work independently on CPR Certified-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Nutrition Planning initiatives, and driving continuous improvement. 6+ years of relevant experience required."
JOB00010,Machine Learning Engineer,Data Science,Abbott-Munoz,Kolkata,A/B Testing; Python; TensorFlow; Excel,4-7 years,11-13,"Abbott-Munoz is hiring a Machine Learning Engineer for our Kolkata office. You will use A/B Testing, Python, TensorFlow, Excel daily and help scale our A/B Testing capabilities. We value strong fundamentals in TensorFlow and a collaborative mindset. Minimum 4 years of experience in a similar role."
JOB00412,Mechanical Design Engineer,Mechanical Engineer,Graham Group,Remote,SolidWorks; AutoCAD; Manufacturing; Quality Control; MATLAB; Six Sigma,6-9 years,13-20,"We are looking for a Mechanical Design Engineer to join our growing team. The ideal candidate has hands-on experience with SolidWorks, AutoCAD, Manufacturing, Quality Control, MATLAB, Six Sigma and can work independently on Manufacturing-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to AutoCAD initiatives, and driving continuous improvement. 6+ years of relevant experience required."
JOB00205,Site Reliability Engineer,DevOps Engineer,Miller Ltd,Ahmedabad,Docker; Git; AWS; Monitoring,2-5 years,13-16,"Miller Ltd is hiring a Site Reliability Engineer for our Ahmedabad office. You will use Docker, Git, AWS, Monitoring daily and help scale our Git capabilities. We value strong fundamentals in Monitoring and a collaborative mindset. Minimum 2 years of experience in a similar role."
JOB00459,UI/UX Designer,Graphic Designer,Mckee-Lee,Remote,Communication; Branding; Creativity; UI/UX; Figma; InDesign,4-7 years,9-11,"We are looking for a UI/UX Designer to join our growing team. The ideal candidate has hands-on experience with Communication, Branding, Creativity, UI/UX, Figma, InDesign and can work independently on Figma-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Branding initiatives, and driving continuous improvement. 4+ years of relevant experience required."
JOB00401,Manufacturing Engineer,Mechanical Engineer,Wilson-Jimenez,Delhi NCR,Six Sigma; MATLAB; SolidWorks; Manufacturing; Project Management; Quality Control,7-10 years,9-16,"We are looking for a Manufacturing Engineer to join our growing team. The ideal candidate has hands-on experience with Six Sigma, MATLAB, SolidWorks, Manufacturing, Project Management, Quality Control and can work independently on Manufacturing-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to SolidWorks initiatives, and driving continuous improvement. 7+ years of relevant experience required."
JOB00032,Data Analyst,Data Science,Carlson-Cruz,Noida,SQL; Tableau; Python; A/B Testing; NumPy; Pandas,5-8 years,16-24,"Exciting opportunity for a Data Analyst at Carlson-Cruz. Must be proficient in SQL, Tableau, Python, A/B Testing, NumPy, Pandas, with practical exposure to NumPy and Pandas. You'll work in an agile environment solving real business problems. 5+ years experience preferred."
JOB00150,Backend Python Engineer,Python Developer,"Schmidt, Hansen and Stewart",Remote,Docker; Django; Python; Unit Testing; Flask; REST API; Celery; Pandas,1-4 years,6-12,"We are looking for a Backend Python Engineer to join our growing team. The ideal candidate has hands-on experience with Docker, Django, Python, Unit Testing, Flask, REST API, Celery, Pandas and can work independently on Python-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Pandas initiatives, and driving continuous improvement. 1+ years of relevant experience required."
JOB00133,Backend Java Engineer,Java Developer,"Bentley, Byrd and Orr",Ahmedabad,Git; Spring Boot; Multithreading; Java; Microservices; REST API; JUnit; Maven,6-9 years,8-14,"Bentley, Byrd and Orr is hiring a Backend Java Engineer for our Ahmedabad office. You will use Git, Spring Boot, Multithreading, Java, Microservices, REST API, JUnit, Maven daily and help scale our Multithreading capabilities. We value strong fundamentals in REST API and a collaborative mindset. Minimum 6 years of experience in a similar role."
JOB00356,Business Development Executive,Sales,Strickland-Palmer,Remote,Cold Calling; Excel; Client Relationship Management; Communication; Lead Generation; Negotiation,4-7 years,14-21,"Strickland-Palmer is hiring a Business Development Executive for our Remote office. You will use Cold Calling, Excel, Client Relationship Management, Communication, Lead Generation, Negotiation daily and help scale our Client Relationship Management capabilities. We value strong fundamentals in Excel and a collaborative mindset. Minimum 4 years of experience in a similar role."
JOB00095,Android Developer,Android Development,Campbell-Clark,Kolkata,Android SDK; Firebase; REST API; Java; Material Design; MVVM,3-6 years,13-22,"Exciting opportunity for a Android Developer at Campbell-Clark. Must be proficient in Android SDK, Firebase, REST API, Java, Material Design, MVVM, with practical exposure to Android SDK and Firebase. You'll work in an agile environment solving real business problems. 3+ years experience preferred."
JOB00444,Structural Engineer,Civil Engineer,Collins Group,Ahmedabad,AutoCAD; Surveying; Structural Analysis; Revit; Cost Estimation; Construction Management,1-4 years,19-25,"Exciting opportunity for a Structural Engineer at Collins Group. Must be proficient in AutoCAD, Surveying, Structural Analysis, Revit, Cost Estimation, Construction Management, with practical exposure to Surveying and Cost Estimation. You'll work in an agile environment solving real business problems. 1+ years experience preferred."
JOB00084,Android Developer,Android Development,"Edwards, Baker and Anderson",Remote,Material Design; Jetpack Compose; Android SDK; Java; MVVM,5-8 years,14-22,"Exciting opportunity for a Android Developer at Edwards, Baker and Anderson. Must be proficient in Material Design, Jetpack Compose, Android SDK, Java, MVVM, with practical exposure to Material Design and MVVM. You'll work in an agile environment solving real business problems. 5+ years experience preferred."
JOB00355,Sales Executive,Sales,"Fisher, Wilson and Brown",Delhi NCR,Client Relationship Management; Cold Calling; CRM; Sales Strategy,2-5 years,9-13,"We are looking for a Sales Executive to join our growing team. The ideal candidate has hands-on experience with Client Relationship Management, Cold Calling, CRM, Sales Strategy and can work independently on Cold Calling-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Sales Strategy initiatives, and driving continuous improvement. 2+ years of relevant experience required."
JOB00502,Fitness Trainer,Health and Fitness,Paul-Kline,Remote,Exercise Physiology; Communication; First Aid; Nutrition Planning; Program Design; Client Assessment; CPR Certified,8-11 years,12-20,"Paul-Kline is hiring a Fitness Trainer for our Remote office. You will use Exercise Physiology, Communication, First Aid, Nutrition Planning, Program Design, Client Assessment, CPR Certified daily and help scale our Program Design capabilities. We value strong fundamentals in Communication and a collaborative mindset. Minimum 8 years of experience in a similar role."
JOB00402,Manufacturing Engineer,Mechanical Engineer,Thompson-James,Ahmedabad,SolidWorks; Six Sigma; Quality Control; Thermodynamics,8-11 years,6-11,"Exciting opportunity for a Manufacturing Engineer at Thompson-James. Must be proficient in SolidWorks, Six Sigma, Quality Control, Thermodynamics, with practical exposure to Six Sigma and Thermodynamics. You'll work in an agile environment solving real business problems. 8+ years experience preferred."
JOB00157,Python Developer,Python Developer,"Mitchell, Nelson and Flores",Pune,Git; Pandas; Docker; Django,0-3 years,9-12,"Mitchell, Nelson and Flores is hiring a Python Developer for our Pune office. You will use Git, Pandas, Docker, Django daily and help scale our Django capabilities. We value strong fundamentals in Pandas and a collaborative mindset. Minimum 0 years of experience in a similar role."
JOB00383,Business Development Executive,Sales,"Austin, Day and Johnson",Noida,Communication; Excel; Client Relationship Management; Cold Calling; Sales Strategy; Negotiation,7-10 years,12-22,"We are looking for a Business Development Executive to join our growing team. The ideal candidate has hands-on experience with Communication, Excel, Client Relationship Management, Cold Calling, Sales Strategy, Negotiation and can work independently on Sales Strategy-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Cold Calling initiatives, and driving continuous improvement. 7+ years of relevant experience required."
JOB00104,Android Developer,Android Development,"Tran, Jordan and Williams",Delhi NCR,Java; SQLite; MVVM; Jetpack Compose; Android SDK; Material Design; Firebase; Kotlin,4-7 years,9-17,"Exciting opportunity for a Android Developer at Tran, Jordan and Williams. Must be proficient in Java, SQLite, MVVM, Jetpack Compose, Android SDK, Material Design, Firebase, Kotlin, with practical exposure to Java and MVVM. You'll work in an agile environment solving real business problems. 4+ years experience preferred."
JOB00115,Backend Java Engineer,Java Developer,Torres-Pope,Hyderabad,SQL; REST API; Maven; Hibernate; JUnit; Java,6-9 years,13-16,"Torres-Pope is hiring a Backend Java Engineer for our Hyderabad office. You will use SQL, REST API, Maven, Hibernate, JUnit, Java daily and help scale our Hibernate capabilities. We value strong fundamentals in Maven and a collaborative mindset. Minimum 6 years of experience in a similar role."
JOB00431,Civil Site Engineer,Civil Engineer,"Huang, Cole and Pacheco",Mumbai,Structural Analysis; Revit; AutoCAD; Construction Management; Cost Estimation; Surveying; Project Management,8-11 years,14-23,"We are looking for a Civil Site Engineer to join our growing team. The ideal candidate has hands-on experience with Structural Analysis, Revit, AutoCAD, Construction Management, Cost Estimation, Surveying, Project Management and can work independently on Revit-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Surveying initiatives, and driving continuous improvement. 8+ years of relevant experience required."
JOB00211,Cybersecurity Analyst,Network Security Engineer,"Pierce, Bell and Chavez",Bengaluru,Cryptography; IDS/IPS; Risk Assessment; Linux; Python; Firewalls,8-11 years,13-18,"Exciting opportunity for a Cybersecurity Analyst at Pierce, Bell and Chavez. Must be proficient in Cryptography, IDS/IPS, Risk Assessment, Linux, Python, Firewalls, with practical exposure to Cryptography and IDS/IPS. You'll work in an agile environment solving real business problems. 8+ years experience preferred."
JOB00467,UI/UX Designer,Graphic Designer,Davis-Lozano,Mumbai,Communication; Photoshop; Figma; Typography; Creativity; UI/UX; Branding,5-8 years,12-15,"Exciting opportunity for a UI/UX Designer at Davis-Lozano. Must be proficient in Communication, Photoshop, Figma, Typography, Creativity, UI/UX, Branding, with practical exposure to Typography and Creativity. You'll work in an agile environment solving real business problems. 5+ years experience preferred."
JOB00270,Product Analyst,Business Analyst,Baird-Sanchez,Kolkata,Power BI; Excel; Tableau; Data Visualization; Agile,5-8 years,12-14,"Baird-Sanchez is hiring a Product Analyst for our Kolkata office. You will use Power BI, Excel, Tableau, Data Visualization, Agile daily and help scale our Data Visualization capabilities. We value strong fundamentals in Agile and a collaborative mindset. Minimum 5 years of experience in a similar role."
JOB00285,Digital Marketing Executive,Digital Marketing,Garcia-Lozano,Remote,Marketing Strategy; Social Media; PPC; Email Marketing; Excel; Content Marketing,7-10 years,20-29,"We are looking for a Digital Marketing Executive to join our growing team. The ideal candidate has hands-on experience with Marketing Strategy, Social Media, PPC, Email Marketing, Excel, Content Marketing and can work independently on PPC-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Social Media initiatives, and driving continuous improvement. 7+ years of relevant experience required."
JOB00480,UI/UX Designer,Graphic Designer,Barnes PLC,Bengaluru,UI/UX; Branding; Figma; Creativity; Photoshop; InDesign,7-10 years,10-14,"Barnes PLC is hiring a UI/UX Designer for our Bengaluru office. You will use UI/UX, Branding, Figma, Creativity, Photoshop, InDesign daily and help scale our Photoshop capabilities. We value strong fundamentals in InDesign and a collaborative mindset. Minimum 7 years of experience in a similar role."
JOB00007,Data Analyst,Data Science,Blake and Sons,Noida,Machine Learning; Pandas; A/B Testing; Python; Data Visualization; Scikit-learn,0-3 years,7-16,"We are looking for a Data Analyst to join our growing team. The ideal candidate has hands-on experience with Machine Learning, Pandas, A/B Testing, Python, Data Visualization, Scikit-learn and can work independently on A/B Testing-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to Scikit-learn initiatives, and driving continuous improvement. 0+ years of relevant experience required."
JOB00016,Data Analyst,Data Science,Galloway-Wyatt,Pune,SQL; NumPy; Pandas; Data Visualization; Python; Scikit-learn; Tableau,0-3 years,10-15,"Exciting opportunity for a Data Analyst at Galloway-Wyatt. Must be proficient in SQL, NumPy, Pandas, Data Visualization, Python, Scikit-learn, Tableau, with practical exposure to NumPy and Data Visualization. You'll work in an agile environment solving real business problems. 0+ years experience preferred."
JOB00290,Digital Marketing Executive,Digital Marketing,"James, Stewart and Higgins",Hyderabad,Content Marketing; SEO; Social Media; Google Analytics; Marketing Strategy,2-5 years,6-8,"James, Stewart and Higgins is hiring a Digital Marketing Executive for our Hyderabad office. You will use Content Marketing, SEO, Social Media, Google Analytics, Marketing Strategy daily and help scale our Google Analytics capabilities. We value strong fundamentals in Content Marketing and a collaborative mindset. Minimum 2 years of experience in a similar role."
JOB00499,Wellness Coach,Health and Fitness,"Kennedy, Johnson and Lucas",Delhi NCR,Communication; CPR Certified; First Aid; Nutrition Planning; Client Assessment; Exercise Physiology; Program Design,7-10 years,19-27,"Exciting opportunity for a Wellness Coach at Kennedy, Johnson and Lucas. Must be proficient in Communication, CPR Certified, First Aid, Nutrition Planning, Client Assessment, Exercise Physiology, Program Design, with practical exposure to Communication and First Aid. You'll work in an agile environment solving real business problems. 7+ years experience preferred."
JOB00360,Business Development Executive,Sales,Boone-Simmons,Delhi NCR,Cold Calling; CRM; Lead Generation; Client Relationship Management; Communication; Negotiation; Excel,0-3 years,13-16,"Boone-Simmons is hiring a Business Development Executive for our Delhi NCR office. You will use Cold Calling, CRM, Lead Generation, Client Relationship Management, Communication, Negotiation, Excel daily and help scale our Communication capabilities. We value strong fundamentals in Lead Generation and a collaborative mindset. Minimum 0 years of experience in a similar role."
JOB00215,Network Security Engineer,Network Security Engineer,"Washington, Hardy and Bray",Pune,Firewalls; SIEM; Penetration Testing; Network Protocols,1-4 years,20-29,"We are looking for a Network Security Engineer to join our growing team. The ideal candidate has hands-on experience with Firewalls, SIEM, Penetration Testing, Network Protocols and can work independently on Firewalls-driven projects. Responsibilities include collaborating with cross-functional teams, contributing to SIEM initiatives, and driving continuous improvement. 1+ years of relevant experience required."
